No,Phenotype,Depth,Regenerated_arms,Regeneration,Preserved_arms,Total_arms,Stalk_diameter
E-17052,PA,777,6,1,34,36,5.3
E-17514-1,PA,512,5,1,12,,4.3
E-17514-2,PA,512,0,0,24,24,3
E-17514-3,PA,512,0,0,16,,2.4
E-17515-1,PA,275,12,1,34,,4.5
E-17515-2,PA,275,19,1,22,,4
E-17515-3,PA,275,4,1,29,,3.9
E-17515-4,PA,275,21,1,28,,4.5
E-17515-5,PA,275,13,1,18,,4.1
E-17515-6,PA,275,3,1,10,,4.5
E-17515-7,PA,275,10,1,14,,3.5
E-17516-1,PR,512,2,1,29,29,2.6
E-17516-2,PR,512,5,1,29,29,2.8
E-17517-1,PR,604,1,1,25,25,3.8
E-17517-2,PR,604,11,1,31,,4
E-17517-3,PR,604,2,1,26,,3.9
E-17517-4,PR,604,0,0,29,29,4.2
E-17520,PR,544.5,0,0,20,33,3.9
E-17920,PR,516,5,1,32,32,4
E-17950,PR,503,1,1,30,30,3.2
E-17980,PA,303.5,0,0,0,,4.8
E-17981,PR,550,2,1,30,30,3.8
E-17989-1,PR,535.5,5,1,31,31,2.8
E-17989-2,INT,535.5,1,1,29,29,3
E-17989-3,PR,535.5,0,0,26,27,2.7
E-17989-4,PR,535.5,1,1,33,33,2.6
E-17989-5,PR,535.5,0,0,30,30,3.5
E-17989-6,PR,535.5,7,1,18,18,1.7
E-17990-1,PR,658.5,1,1,35,35,4.4
E-17990-2,PR,658.5,2,1,24,,4.2
E-17990-3,PR,658.5,1,1,30,30,4.1
E-17991-1,PR,567,2,1,33,33,3.1
E-17991-2,PR,567,5,1,28,28,2.6
E-17994-1,PA,401.5,7,1,30,30,4.3
E-17994-2,PA,401.5,26,1,33,33,4.8
E-17996-1,PA,535.5,1,1,26,,4
E-17996-2,PA,535.5,10,1,30,31,3.8
E-18006,PA,393.5,0,0,17,50,6.4
E-18008,PA,366,0,0,33,34,4.1
E-18009,PA,512.4,3,1,36,36,3.7
E-18020-1,PA,430,25,1,30,,4
E-18020-2,PA,430,17,1,29,29,3.9
E-18023,PA,252,1,1,33,33,5
E-18030-1,PR,512.4,1,1,28,28,4
E-18030-2,PR,512.4,0,0,22,22,3.8
E-18030-3,INT,512.4,0,0,31,31,3.8
E-18032-1,PR,494.5,9,1,39,39,3.9
E-18032-2,PR,494.5,10,1,27,,4.9
E-18033,PA,198.5,4,1,58,,6
E-18035-1,PA,439.5,2,1,21,,4
E-18035-2,PA,439.5,5,1,31,,3.9
E-18035-3,INT,439.5,4,1,38,38,4.7
E-18035-4,PA,439.5,24,1,36,36,4.4
E-18035-5,PA,439.5,9,1,43,43,4
E-18035-6,PA,439.5,16,1,35,35,4.5
E-18035-7,PA,439.5,1,1,38,38,4.4
E-18035-8,PA,439.5,17,1,44,44,4.5
E-18035-9,INT,439.5,16,1,36,36,4
E-18035-10,PA,439.5,1,1,32,32,4.6
E-18035-11,PA,439.5,1,1,33,33,4.1
E-18035-12,PA,439.5,19,1,32,32,4.4
E-18035-13,PA,439.5,18,1,35,35,4.8
E-18035-14,PA,439.5,20,1,30,30,4
E-18035-15,PA,439.5,5,1,42,,4.7
E-18035-16,PA,439.5,9,1,40,40,4.2
E-18035-17,INT,439.5,34,1,58,58,4.2
E-18035-18,PR,439.5,34,1,58,58,4.2
E-18035-19,PA,439.5,1,1,45,45,5.2
E-18035-20,PA,439.5,9,1,27,,5
E-18035-21,PA,439.5,19,1,40,,4.1
E-18035-22,PA,439.5,1,1,35,35,4.1
E-18035-23,PA,439.5,15,1,34,34,4
E-18052,PA,,17,1,37,,5.2
E-18047,PA,4.3,5,1,37,,5
E-18050-1,PA,,6,,46,,5.8
E-18050-2,PA,,27,1,50,,5.5
E-18058,PA,251.5,10,1,33,33,5.5
E-19967,PA,256,0,0,10,10,0.8
E-19968,PA,402,1,1,36,37,3.9
E-19969,PA,256,2,1,28,28,3.4
E-21004,PA,455,14,1,40,40,5.6
E-21005-1,PR,300,2,1,13,,4.2
E-21005-2,PR,300,1,1,10,,3.8
E-21012,PA,420,0,0,30,51,6.2
E-21014,PR,625,1,1,8,30,4.7
E-21018-1,PA,476,1,1,18,18,2.9
E-21018-2,PA,476,2,1,18,,3.8
E-21018-3,PA,476,0,0,28,,3.8
E-21018-4,PA,476,0,0,19,,4.1
E-21020-1,PA,549,13,1,36,,3.3
E-21020-2,PR,549,0,0,17,30,3.4
E-21020-3,PR,549,28,1,33,,3.7
E-21020-4,PR,549,0,0,30,32,3.8
E-21020-5,PR,549,2,1,36,37,3.8
E-21020-6,PR,549,0,0,31,,4
E-21020-7,PR,549,0,0,31,31,4.3
E-21020-8,PR,549,1,1,6,,4.3
E-21020-9,PR,549,0,0,10,,
E-21022,PA,384,0,0,22,,3.9
E-21024,PA,411,0,0,0,,5.9
E-21037-1,PA,370,18,1,55,,4.6
E-21037-2,PA,370,14,1,34,47,5.1
E-21037-3,PA,370,0,0,7,,5.7
E-21037-4,PA,370,1,1,1,,4.9
E-21037-5,PA,370,3,1,18,49,5.5
E-21042,PA,325,0,0,14,40,
E-21052,PA,450,2,1,26,28,4.5
E-21063,PR,,2,1,29,,
E-21071,PA,399,4,1,24,48,5.7
E-21072-1,PA,,,,,,3.3
E-21072-2,PR,,,,,,3.8
E-21076-1,PA,304,3,1,39,39,4.2
E-21076-2,PA,304,0,0,2,,4
E-21083,PR,512,11,1,15,27,3.4
E-21084,PA,1033,0,0,10,,4
E-25908-1,PA,516,5,1,33,39,3.5
E-25908-2,PA,516,0,0,21,34,3.6
E-25908-3,PA,516,0,0,25,31,3.8
E-26001,PA,,1,1,44,45,4.7
E-26002-1,INT,516,17,1,26,29,3.6
E-26002-2,PR,516,14,1,30,32,3.6
E-26002-3,PR,516,26,1,30,31,3.2
E-26002-4,PA,516,2,1,31,31,3.6
E-26002-5,PR,516,1,1,30,35,3.9
E-26002-6,PA,516,2,1,3,35,5.6
E-26002-7,PR,516,7,1,11,30,4
E-26002-8,PA,516,2,1,26,34,3.9
E-26002-9,PR,516,3,1,30,34.5,3.7
E-26002-10,PR,516,12,1,20,29,3.7
E-26002-11,PA,516,1,1,31,34,3.7
E-26002-12,PA,516,0,0,29,30.5,4.2
E-26002-13,PA,516,2,1,31,32,4
E-32636,PA,348.5,13,1,41,41,4.4
E-32637,PR,717,1,1,7,,4.3
E-32638,PA,352,19,1,34,34,4.8
E-32639,PA,630,14,1,18,24.5,3.8
E-32640-1,PR,655,1,1,22,23,4
E-32640-2,PR,655,9,1,25,25,3.5
E-32640-3,PR,655,12,1,4,,3.8
E-32640-4,PR,655,0,0,21,30,
E-32641,PA,346,11,1,42,42,4.4
E-32642,PA,336,0,0,27,32,3.6
E-32643,INT,608,6,1,26,28,3.4
E-32644-1,PR,621,3,1,22,33.5,4.3
E-32644-2,PR,621,1,1,35,35,3.6
E-32655,PA,377,13,1,39,42,4.9
E-32656,PA,392,0,0,39,44.5,5.5
E-32653,PA,599,9,1,21,30,3.9
E-32654,PA,584,0,0,17,21.5,3.5
E-32657-1,PA,450,0,0,32,43.5,4
E-32657-2,PA,450,3,1,38,38,4.6
E-32658,PA,311,29,1,46,46,3.2
E-32659,PA,584,0,0,4,,3.4
E-32660,PA,492,0,0,26,27,4.8
E-32661,PA,482,0,0,2,,4.6
E-32662,PA,211,7,1,21,21,3.5
E-32663,PA,609,0,0,13,25,3.1
E-32664-1,PA,671,0,0,21,22,4.5
E-32664-2,PA,671,2,1,0,,4.7
E-32664-3,PA,671,0,0,0,,4.2
E-32666,PR,522,1,1,29,30,3.7
E-32671,PA,658,1,1,35,41,4.9
E-32674,PA,321,5,1,20,20,1.9
E-33403-1,PA,605,10,1,36,37,4
E-33403-2,PA,605,11,1,9,29,3.7
E-33404,PR,527,1,1,26,30,3.2
E-33405,PA,300,9,1,39,39,3
E-33406-1,PA,287,29,1,44,44,4.5
E-33406-2,PA,287,14,1,47,47,3.9
E-42615,INT,473,0,0,26,26,3
E-42616,PA,536,1,1,36,37,5.3
E-42618,INT,676,1,1,31,32,4.1
E-42619,PA,665,,,,,3.9
E-42620,PR,653,3,1,30,30,3.3
E-42621,PA,619,0,0,24,25,3.9
E-42622,PA,445,20,1,26,27,2.7
E-42623,PR,562,10,1,31,31,3.2
E-42624,PA,627,0,0,6,10,2.3
E-42617,PA,407,2,1,34,34,3.4
E-42636,PA,264,2,1,34,34,3
E-42637,PA,439,,,,,4.1
E-42638-1,PA,486,11,1,25,28,2.4
E-42638-2,PA,486,21,1,25,25,2.5
E-42639,INT,449,0,0,27,27,2.3
E-42640,PR,480,0,0,30,31,3.1
E-42641,PA,434,5,1,19,29,2.3
E-14642,PA,,0,0,24,24,3.1
E-42698-1,PA,419,0,0,22,22,4.7
E-42698-2,PA,419,0,0,26,31,4.5
E-42698-3,PA,419,2,1,24,28,3.8
E-43042-1,PA,274,1,1,28,35.5,4.5
E-45840,PR,712.5,1,1,22,22,3
E-45841,PR,712.5,7,1,18,18,3.8
E-45842,PA,712.5,2,1,17,17,2.6
E-45843,PA,712.5,2,1,26,26,3.7
E-45844,PA,712.5,3,1,20,20,3.7
E-45845,PA,712.5,4,1,28,28,3.5
E-45846,PR,712.5,7,1,23,24,3.1
E-45847,PR,712.5,2,1,28,28,3.3
E-45848,PA,712.5,0,0,19,19,3.2
E-45849,PA,712.5,0,0,22,25.5,3.5
E-45850,PA,712.5,15,1,21,24,3.9
E-45851,PA,716,25,1,22,22,2.7
